nit/cc distribuidor;nombre distribuidor;calidad del servicio;variable tecnica;eficiencia operativa;participacion y compromiso;resultado prestador
75419f74b4;b793f7377c;100,00 %;53,45 %;36,63 %;100,00 %;61,23 %
7212072366;5ba5b0d005;100,00 %;0,00 %;38,78 %;0,00 %;41,22 %
24c10897e8;2ef74f1835;100,00 %;27,93 %;39,39 %;0,00 %;48,84 %
e5e8e37df5;c6e1063a9a;100,00 %;27,93 %;39,79 %;0,00 %;49,00 %
b8d48c07b3;a61055e61c;100,00 %;27,93 %;37,21 %;0,00 %;47,93 %
486f3f999f;b8429bbd96;100,00 %;27,93 %;39,62 %;0,00 %;48,93 %
3202cc6b00;ffdcfa8d1b;100,00 %;27,93 %;38,97 %;0,00 %;48,66 %
cc664843ff;b4136e36c3;100,00 %;27,93 %;41,41 %;30,00 %;51,73 %
ca2502bd12;fec5f9cfbb;100,00 %;27,93 %;40,88 %;0,00 %;49,46 %
ff18ff0b36;fafbee618b;100,00 %;27,93 %;39,76 %;0,00 %;48,99 %
d77fde5c4d;b7fa80a4d8;100,00 %;0,00 %;37,00 %;0,00 %;40,47 %
0235844b27;6e483202d2;100,00 %;72,83 %;42,03 %;30,00 %;63,82 %
9b258e9c44;6171bdf847;100,00 %;65,88 %;42,45 %;60,00 %;64,21 %
ac6e6ef7a2;3b55a5c478;100,00 %;18,62 %;43,26 %;0,00 %;48,00 %
b45e9210b8;744e23582f;100,00 %;27,93 %;41,29 %;0,00 %;49,63 %
955192fe4b;b1982f1e4a;100,00 %;27,93 %;42,41 %;100,00 %;56,92 %
ed8d031f95;39f2a0b57c;100,00 %;27,93 %;40,61 %;0,00 %;49,35 %
a20bea9ead;75878746b2;100,00 %;27,93 %;40,30 %;0,00 %;49,22 %
1c946ceaec;5e1edb638c;100,00 %;27,93 %;40,35 %;0,00 %;49,24 %
f61589a2ef;7eb8231cf0;100,00 %;70,02 %;38,23 %;30,00 %;61,49 %
